"","Player","Tm","season21_22"
"354","Raul Neto","WAS",2089448
"355","Frank Kaminsky","PHO",2089448
"356","Nemanja Bjelica","GSW",2089448
"357","Udoka Azubuike","UTA",2075880
"358","Jaden McDaniels","MIN",2063280
"359","Malachi Flynn","TOR",2048040
"360","Cameron Thomas","BRK",2036280
"361","Desmond Bane","MEM",2033160
"362","Jaden Springer","PHI",2023800
"363","Day'Ron Sharpe","BRK",2009040
"364","Jeremiah Robinson-Earl","OKC",2e+06
"365","Abdel Nader","PHO",2e+06
"366","Théo Maledon","OKC",2e+06
"367","Kenrich Williams","OKC",2e+06
"368","Santi Aldama","MEM",1994520
"369","Damian Jones","SAC",1977011
"370","Rodney McGruder","DET",1939350
"371","DeAndre' Bembry","BRK",1939350
"372","Gary Payton II","GSW",1939350
"373","Timothé Luwawu-Cabarrot","ATL",1939350
"374","Damion Lee","GSW",1910860
"375","Larry Sanders","MIL",1865547
"376","Shake Milton","PHI",1846738
"377","Mitchell Robinson","NYK",1802057
"378","Jalen Brunson","DAL",1802057
"379","Semi Ojeleye","MIL",1789256
"380","Malik Monk","LAL",1789256
"381","Frank Ntilikina","DAL",1789256
"382","Tony Bradley","CHI",1789256
"383","Dennis Smith Jr.","POR",1789256
"384","Denzel Valentine","CLE",1789256
"385","Didi Louzada","NOP",1786878
"386","Daniel Gafford","WAS",1782621
"387","Terance Mann","LAC",1782621
"388","Eric Paschall","UTA",1782621
"389","KZ Okpala","MIA",1782621
"390","Cody Martin","CHO",1782621
"391","Nicolas Claxton","BRK",1782621
"392","Bruno Fernando","BOS",1782621
"393","Luguentz Dort","OKC",1782621
"394","Miye Oni","UTA",1782621
"395","Isaiah Roby","OKC",1782621
"396","Naz Reid","MIN",1782621
"397","Jaylen Nowell","MIN",1782621
"398","Vlatko Cancar","DEN",1782621
"399","Dean Wade","CLE",1782621
"400","Jalen McDaniels","CHO",1782621
"401","Drew Eubanks","SAS",1762796
"402","Chimezie Metu","SAC",1762796
"403","Yuta Watanabe","TOR",1762769
"404","Svi Mykhailiuk","TOR",1729217
"405","Keita Bates-Diop","SAS",1729217
"406","Moritz Wagner","ORL",1729217
"407","Thanasis Antetokounmpo","MIL",1729217
"408","Isaac Bonga","TOR",1729217
"409","Wayne Selden","NYK",1729217
"410","Isaiah Hartenstein","LAC",3430810
"411","Brad Wanamaker","IND",1729217
"412","Alize Johnson","CHI",1729217
"413","Juan Toscano-Anderson","GSW",1701593
"414","Oshae Brissett","IND",1701593
"415","Kelan Martin","IND",1701593
"416","Moses Brown","DAL",1701593
"417","Isaiah Hartenstein","CLE",3430810
"418","Herb Jones","NOP",1700000
"419","Jordan McLaughlin","MIN",1669178
"420","Javonte Green","CHI",1669178
"421","Max Strus","MIA",1669178
"422","Gabe Vincent","MIA",1669178
"423","Kevin Pangos","CLE",1669178
"424","Matt Thomas","CHI",1669178
"425","Xavier Tillman Sr.","MEM",1517981
"426","Vernon Carey Jr.","CHO",1517981
"427","Robert Woodard","SAC",1517981
"428","Elijah Hughes","UTA",1517981
"429","Tre Jones","SAS",1517981
"430","Jahmi'us Ramsey","SAC",1517981
